Datetime,Open,High,Low,Close,Volume
2026-01-17 11:20:00,1.0851,1.08507,1.08482,1.08488,2690786
2026-01-17 11:21:00,1.08538,1.08543,1.08526,1.08536,2106187
2026-01-17 11:22:00,1.08504,1.08509,1.08502,1.08505,4754319
2026-01-17 11:23:00,1.08461,1.08479,1.08462,1.08471,2806230
2026-01-17 11:24:00,1.08498,1.08496,1.08482,1.0849,3132110
2026-01-17 11:25:00,1.085,1.08512,1.08504,1.08508,2269095
2026-01-17 11:26:00,1.08449,1.08459,1.08438,1.08454,4773313
2026-01-17 11:27:00,1.08511,1.08515,1.08498,1.08503,1065173
2026-01-17 11:28:00,1.08498,1.08505,1.08485,1.08494,2792419
2026-01-17 11:29:00,1.08522,1.08541,1.08522,1.08527,2878219
2026-01-17 11:30:00,1.08487,1.08517,1.08509,1.08511,2383952
2026-01-17 11:31:00,1.08446,1.08471,1.0845,1.08455,1253974
2026-01-17 11:32:00,1.08454,1.08489,1.08467,1.08472,3655363
2026-01-17 11:33:00,1.08483,1.08498,1.08486,1.08497,2081575
2026-01-17 11:34:00,1.08512,1.0853,1.08519,1.08521,2736301
2026-01-17 11:35:00,1.085,1.08507,1.08499,1.08505,3002920
2026-01-17 11:36:00,1.08513,1.08539,1.08523,1.08523,2381246
2026-01-17 11:37:00,1.08534,1.08538,1.08524,1.08527,1122342
2026-01-17 11:38:00,1.08504,1.08505,1.08497,1.08503,4074698
2026-01-17 11:39:00,1.0849,1.08498,1.08497,1.08497,4140400
