Datetime,Open,High,Low,Close,Volume
2026-01-17 11:00:00,1.08487,1.085,1.08487,1.08493,2355348
2026-01-17 11:01:00,1.08494,1.08505,1.085,1.08504,2144581
2026-01-17 11:02:00,1.08527,1.08533,1.0852,1.08527,4419175
2026-01-17 11:03:00,1.08491,1.08513,1.08471,1.08487,3788775
2026-01-17 11:04:00,1.08495,1.08499,1.08478,1.08495,3516401
2026-01-17 11:05:00,1.08529,1.0855,1.08521,1.08529,4530195
2026-01-17 11:06:00,1.08459,1.08477,1.08464,1.08472,2402716
2026-01-17 11:07:00,1.08526,1.08529,1.08502,1.08518,3167150
2026-01-17 11:08:00,1.08535,1.08546,1.0853,1.0854,1883978
2026-01-17 11:09:00,1.08492,1.08526,1.085,1.08505,2790430
2026-01-17 11:10:00,1.08524,1.08522,1.08519,1.08521,2970767
2026-01-17 11:11:00,1.08463,1.08482,1.08467,1.08476,4971702
2026-01-17 11:12:00,1.08518,1.08521,1.08498,1.08509,2806867
2026-01-17 11:13:00,1.08525,1.08551,1.08532,1.08537,4333223
2026-01-17 11:14:00,1.08524,1.08541,1.08516,1.08528,4466675
2026-01-17 11:15:00,1.08529,1.08539,1.08522,1.08531,1280389
2026-01-17 11:16:00,1.0853,1.08516,1.0849,1.08505,4693104
2026-01-17 11:17:00,1.08519,1.08542,1.08514,1.08516,4643525
2026-01-17 11:18:00,1.08516,1.08523,1.08506,1.08517,2600738
2026-01-17 11:19:00,1.08501,1.0851,1.08496,1.08508,2927785
