Datetime,Open,High,Low,Close,Volume
2026-01-17 10:40:00,1.08497,1.08499,1.08487,1.08498,2345651
2026-01-17 10:41:00,1.08502,1.08502,1.08488,1.08496,1211153
2026-01-17 10:42:00,1.08499,1.08508,1.085,1.08506,2251882
2026-01-17 10:43:00,1.08473,1.08501,1.08464,1.08481,4607839
2026-01-17 10:44:00,1.0851,1.08525,1.08497,1.0852,3757386
2026-01-17 10:45:00,1.08501,1.0851,1.08491,1.08499,3982553
2026-01-17 10:46:00,1.0848,1.08511,1.08496,1.08501,1964641
2026-01-17 10:47:00,1.08515,1.08534,1.08521,1.08525,3252086
2026-01-17 10:48:00,1.08508,1.08512,1.08505,1.08507,4613686
2026-01-17 10:49:00,1.08535,1.08532,1.08514,1.08527,4293244
2026-01-17 10:50:00,1.08501,1.085,1.08484,1.08487,2876632
2026-01-17 10:51:00,1.08484,1.08496,1.08473,1.08478,2549826
2026-01-17 10:52:00,1.08524,1.08525,1.08498,1.0852,1739225
2026-01-17 10:53:00,1.08462,1.08464,1.08455,1.08457,4776432
2026-01-17 10:54:00,1.08496,1.08494,1.08486,1.08493,3020849
2026-01-17 10:55:00,1.08488,1.08484,1.08472,1.08479,3251902
2026-01-17 10:56:00,1.08525,1.08528,1.08501,1.08509,4562868
2026-01-17 10:57:00,1.08531,1.08538,1.08521,1.08535,1637981
2026-01-17 10:58:00,1.08481,1.08503,1.08477,1.08497,3562069
2026-01-17 10:59:00,1.08484,1.08516,1.08496,1.08504,3789183
