Model,Subset,RMSE,MAE,R²,Directional Accuracy (%),Samples
ARIMA,TRAIN,0.005404252009958603,0.0039877236161237105,0.001959939973570912,66.89505950234404,2774
ARIMA,VAL,0.005143165342328873,0.0038689616150549477,-0.0010596753586018526,1.1784511784511784,595
ARIMA,TEST,0.004425114457253003,0.0032220283322899235,-0.0020405103887977116,0.0,595
ARIMA-LSTM,TRAIN,0.005403950701582166,0.003988388826737031,0.0020712262150154315,65.38045438153624,2774
ARIMA-LSTM,VAL,0.0052556465177306935,0.004004190618933556,-0.045324888714338485,38.552188552188554,595
ARIMA-LSTM,TEST,0.004573573238192204,0.00334116155007338,-0.07040354496700774,36.195286195286194,595
ARIMA-GARCH,TRAIN,0.005403950701582166,0.003988388826737031,0.0020712262150154315,65.38045438153624,2774
ARIMA-GARCH,VAL,0.005143121157223595,0.003868971614482024,-0.0010424751582576164,2.356902356902357,595
ARIMA-GARCH,TEST,0.004425104575414557,0.003222121387544261,-0.002036035028225802,2.6936026936026933,595
ARIMA-GARCH-LSTM,TRAIN,0.005405147998543349,0.0039885422587395795,0.0022224705503127717,65.9443842542434,2770
ARIMA-GARCH-LSTM,VAL,0.005150911853901335,0.0038739161713681426,-0.0006628482555393056,58.644067796610166,591
ARIMA-GARCH-LSTM,TEST,0.004421606300869342,0.003215043924962085,-0.0024569104534497566,56.10169491525424,591
