Datetime,Open,High,Low,Close,Volume
2026-01-17 11:20:00,1.08484,1.08499,1.08489,1.08492,1561680
2026-01-17 11:21:00,1.0847,1.08476,1.08457,1.0847,1391331
2026-01-17 11:22:00,1.08475,1.08492,1.08465,1.0848,1627662
2026-01-17 11:23:00,1.085,1.08508,1.08493,1.08505,2990671
2026-01-17 11:24:00,1.08484,1.08506,1.0848,1.08495,2940548
2026-01-17 11:25:00,1.08476,1.08505,1.0849,1.08492,2354731
2026-01-17 11:26:00,1.0847,1.08467,1.08451,1.08455,1613728
2026-01-17 11:27:00,1.08527,1.08532,1.08518,1.0852,2161828
2026-01-17 11:28:00,1.0845,1.08469,1.08451,1.08461,2245234
2026-01-17 11:29:00,1.0852,1.08514,1.0849,1.08499,4034924
2026-01-17 11:30:00,1.08527,1.08534,1.08517,1.08521,2623134
2026-01-17 11:31:00,1.08503,1.08497,1.08479,1.08493,4890129
2026-01-17 11:32:00,1.08474,1.08494,1.08476,1.08487,2827976
2026-01-17 11:33:00,1.08493,1.08494,1.08483,1.08486,4215670
2026-01-17 11:34:00,1.0851,1.08519,1.08495,1.08498,1411091
2026-01-17 11:35:00,1.08486,1.08494,1.08479,1.08489,1726232
2026-01-17 11:36:00,1.08483,1.08502,1.08498,1.08499,1944306
2026-01-17 11:37:00,1.08529,1.08535,1.08527,1.08528,3406110
2026-01-17 11:38:00,1.0849,1.0851,1.08499,1.08509,1553007
2026-01-17 11:39:00,1.08538,1.08538,1.08519,1.08533,1195841
