Datetime,Open,High,Low,Close,Volume
2026-01-17 10:00:00,1.0849,1.08492,1.08463,1.0849,3118692
2026-01-17 10:01:00,1.08538,1.0854,1.08525,1.08539,1369768
2026-01-17 10:02:00,1.08505,1.085,1.0848,1.085,4268248
2026-01-17 10:03:00,1.08467,1.08471,1.08466,1.0847,1515366
2026-01-17 10:04:00,1.0851,1.08542,1.08508,1.08518,3563881
2026-01-17 10:05:00,1.08512,1.08514,1.08505,1.08512,4784143
2026-01-17 10:06:00,1.08517,1.08513,1.08509,1.08511,3408976
2026-01-17 10:07:00,1.08491,1.08524,1.08494,1.085,2538003
2026-01-17 10:08:00,1.08503,1.08505,1.08489,1.085,3211689
2026-01-17 10:09:00,1.08505,1.08509,1.08497,1.08498,4901565
2026-01-17 10:10:00,1.08493,1.08504,1.08494,1.08499,2688425
2026-01-17 10:11:00,1.08534,1.08544,1.0853,1.08534,3028232
2026-01-17 10:12:00,1.08497,1.08491,1.08462,1.08488,3130730
2026-01-17 10:13:00,1.08505,1.08522,1.08498,1.08515,1173952
2026-01-17 10:14:00,1.08467,1.08479,1.0846,1.08465,1593122
2026-01-17 10:15:00,1.08499,1.08511,1.08487,1.08497,2532497
2026-01-17 10:16:00,1.08506,1.08514,1.08479,1.08504,3268248
2026-01-17 10:17:00,1.08491,1.085,1.08495,1.08496,1364047
2026-01-17 10:18:00,1.08467,1.08471,1.08464,1.08468,3826965
2026-01-17 10:19:00,1.08486,1.08498,1.08483,1.08486,2103367
