Datetime,Open,High,Low,Close,Volume
2026-01-17 11:00:00,1.08488,1.08489,1.08475,1.08478,4834721
2026-01-17 11:01:00,1.08486,1.0849,1.08485,1.08487,3484915
2026-01-17 11:02:00,1.0849,1.08529,1.08502,1.08505,2897602
2026-01-17 11:03:00,1.08541,1.08518,1.08505,1.08515,2970024
2026-01-17 11:04:00,1.08513,1.08527,1.08521,1.08523,3108190
2026-01-17 11:05:00,1.08527,1.08521,1.08514,1.08516,1421185
2026-01-17 11:06:00,1.08489,1.08495,1.08485,1.08487,3873692
2026-01-17 11:07:00,1.0849,1.08508,1.08491,1.08499,3438574
2026-01-17 11:08:00,1.0852,1.08512,1.085,1.08511,4752464
2026-01-17 11:09:00,1.08513,1.08506,1.08485,1.08504,4505275
2026-01-17 11:10:00,1.08471,1.08484,1.0845,1.08471,2554833
2026-01-17 11:11:00,1.08542,1.08544,1.08534,1.08541,1497866
2026-01-17 11:12:00,1.08517,1.08536,1.08521,1.08525,4205291
2026-01-17 11:13:00,1.08478,1.08491,1.08466,1.08482,4476307
2026-01-17 11:14:00,1.08531,1.08534,1.08515,1.08521,1159371
2026-01-17 11:15:00,1.08547,1.0853,1.08498,1.08523,1937226
2026-01-17 11:16:00,1.08536,1.08532,1.08503,1.08523,2379737
2026-01-17 11:17:00,1.08504,1.08495,1.08492,1.08493,4701693
2026-01-17 11:18:00,1.08469,1.0848,1.08468,1.08476,2774055
2026-01-17 11:19:00,1.08472,1.08492,1.08478,1.08488,4256107
