Datetime,Open,High,Low,Close,Volume
2026-01-17 10:20:00,1.08486,1.08506,1.08487,1.08489,1655550
2026-01-17 10:21:00,1.08469,1.08501,1.08491,1.08497,1257212
2026-01-17 10:22:00,1.08514,1.08513,1.085,1.08508,1683222
2026-01-17 10:23:00,1.08462,1.08477,1.08454,1.08464,1358708
2026-01-17 10:24:00,1.08505,1.08513,1.08501,1.08503,1600327
2026-01-17 10:25:00,1.08513,1.08526,1.08504,1.08516,1043096
2026-01-17 10:26:00,1.08548,1.08536,1.08525,1.08535,3331590
2026-01-17 10:27:00,1.0848,1.08489,1.08477,1.08481,2521372
2026-01-17 10:28:00,1.08469,1.08462,1.0844,1.08461,4369807
2026-01-17 10:29:00,1.08502,1.08524,1.08506,1.08512,4437403
2026-01-17 10:30:00,1.0849,1.08511,1.08494,1.08499,3121470
2026-01-17 10:31:00,1.08532,1.08543,1.08533,1.08534,1694849
2026-01-17 10:32:00,1.08479,1.0849,1.08479,1.08484,4684924
2026-01-17 10:33:00,1.08527,1.08522,1.08514,1.0852,1437115
2026-01-17 10:34:00,1.0846,1.08489,1.08473,1.08479,1019165
2026-01-17 10:35:00,1.08565,1.08569,1.08548,1.08553,3306723
2026-01-17 10:36:00,1.08454,1.0847,1.08456,1.08465,2478293
2026-01-17 10:37:00,1.08483,1.08493,1.08477,1.0849,4867378
2026-01-17 10:38:00,1.08491,1.08482,1.08463,1.08469,1094557
2026-01-17 10:39:00,1.08466,1.08485,1.08477,1.08479,4117151
